"year","AnnualTempMin","AnnualTempMax","AnnualTempMean"
"2014",-2.1409,30.8911,14.0098240675
"2015",-17.5941,31.2068,12.8253565025751
"2016",-13.7297,34.5616,13.091322784465
"2017",-13.4094,32.8599,13.3226169201291
"2018",-88.5751,51.9313,12.4677121694876
"2019",-15.879,34.9329,13.2900538814684
"2020",-9.1422,36.9121,13.4525920475461
"2021",-57.8327,34.5097,13.8656575032775
"2022",-13.3625,24.5723,4.11495188970604
