"year","AnnualTempMin","AnnualTempMax","AnnualTempMean"
"2014",-2.0776,37.1154,20.0900840833333
"2015",-3.508,38.5979,21.2322846602426
"2016",-2.7462,37.2186,21.0920780504121
"2017",-0.8423,36.3269,21.5304616181319
"2018",-4.1164,34.3231,20.7920253131868
"2019",1.0977,37.0719,21.4468218302198
"2020",-2.6699,37.7711,21.4246665040431
"2021",-2.507,35.2856,20.7177640879121
"2022",-3.6819,31.4865,15.6139309725275
