"year","AnnualTempMin","AnnualTempMax","AnnualTempMean"
"2016",-22.9567,36.2663,15.3357945886297
"2017",-18.9476,38.702,13.9044375688828
"2018",-23.7846,40.7574,12.6658338837363
"2019",-21.1119,37.491,12.1656404825
"2020",-17.6076,34.663,12.7759627136658
"2021",-26.6473,36.3973,13.4599694198077
"2022",-17.1658,31.915,2.29037519
